id,depth,qc,fs
972,2.27,4.7,90.1
972,2.28,4.42,88.0
972,2.29,4.15,86.0
972,2.3,4.21,83.6
972,2.31,4.28,82.9
972,2.32,4.42,76.8
972,2.33,4.42,70.7
972,2.34,4.48,69.2
972,2.35,4.48,69.6
972,2.36,4.72,69.1
972,2.37,4.61,71.5
972,2.38,4.59,73.8
972,2.39,4.62,76.3
972,2.4,4.65,78.7
972,2.41,4.71,84.3
972,2.42,4.77,83.4
972,2.43,4.77,82.5
972,2.44,4.77,75.1
972,2.45,4.76,81.8
972,2.46,4.42,73.9
972,2.47,3.81,69.8
972,2.48,3.42,69.6
972,2.49,3.12,70.1
972,2.5,2.62,70.5
972,2.51,2.62,70.1
972,2.52,2.52,69.7
972,2.53,2.2,68.6
972,2.54,1.88,64.8
972,2.55,1.76,48.0
972,2.56,1.72,47.7
972,2.57,1.72,47.4
972,2.58,1.52,47.4
972,2.59,1.41,47.1
972,2.6,1.39,43.1
972,2.61,1.35,40.8
972,2.62,1.31,40.4
972,2.63,1.31,37.3
972,2.64,1.29,31.2
972,2.65,1.29,30.8
972,2.66,1.14,30.8
972,2.67,1.11,24.9
972,2.68,1.09,23.5
972,2.69,1.09,22.1
972,2.7,1.1,22.3
972,2.71,1.11,20.8
972,2.72,1.29,21.7
972,2.73,1.29,22.6
972,2.74,1.71,22.5
972,2.75,1.86,22.4
972,2.76,1.86,22.0
972,2.77,1.74,22.8
972,2.78,1.63,23.7
972,2.79,1.65,25.8
972,2.8,1.56,27.8
972,2.81,1.59,26.2
972,2.82,1.62,26.2
972,2.83,1.73,26.3
972,2.84,1.73,28.1
972,2.85,1.61,28.6
972,2.86,1.55,33.2
972,2.87,1.53,33.1
972,2.88,1.58,41.7
972,2.89,1.64,40.0
972,2.9,1.79,42.2
972,2.91,1.84,41.1
972,2.92,1.84,43.3
972,2.93,1.97,45.6
972,2.94,2.11,49.2
972,2.95,2.07,52.9
972,2.96,2.04,52.6
972,2.97,1.98,53.4
972,2.98,1.85,53.8
972,2.99,1.72,54.2
972,3.0,1.72,54.3
972,3.01,1.66,54.1
972,3.02,1.49,53.9
972,3.03,1.47,51.8
972,3.04,1.47,52.0
972,3.05,1.47,44.5
972,3.06,1.47,40.7
972,3.07,1.38,40.7
972,3.08,1.38,37.2
972,3.09,1.39,38.4
972,3.1,1.41,37.0
972,3.11,1.54,35.7
972,3.12,1.54,32.2
972,3.13,1.59,28.7
972,3.14,1.59,28.0
972,3.15,1.66,27.8
972,3.16,1.61,27.8
972,3.17,1.62,27.9
972,3.18,1.63,28.6
972,3.19,1.66,28.4
972,3.2,1.69,28.2
972,3.21,1.69,27.3
972,3.22,1.69,26.4
972,3.23,1.63,25.9
972,3.24,1.62,26.4
972,3.25,1.61,26.8
972,3.26,1.75,29.3
972,3.27,1.49,30.3
972,3.28,1.46,30.5
972,3.29,1.49,30.7
972,3.3,1.51,32.7
972,3.31,1.58,34.7
972,3.32,2.05,40.7
972,3.33,1.68,39.7
972,3.34,2.54,38.7
972,3.35,2.66,35.7
972,3.36,2.64,36.6
972,3.37,2.32,37.4
972,3.38,2.32,48.1
972,3.39,2.33,50.1
972,3.4,2.66,55.4
972,3.41,3.27,57.4
972,3.42,3.51,57.4
972,3.43,3.78,57.4
972,3.44,3.78,58.8
972,3.45,3.23,60.2
972,3.46,3.21,63.9
972,3.47,3.21,64.4
972,3.48,3.15,64.2
972,3.49,3.0,64.1
972,3.5,2.99,66.6
972,3.51,2.98,69.0
972,3.52,2.98,69.0
972,3.53,2.97,67.8
972,3.54,3.05,66.6
972,3.55,3.13,47.4
972,3.56,3.19,64.6
972,3.57,3.21,63.3
972,3.58,3.23,62.1
972,3.59,3.35,61.2
972,3.6,3.35,63.1
972,3.61,3.49,64.9
972,3.62,3.13,66.8
972,3.63,2.71,67.1
972,3.64,2.77,66.2
972,3.65,2.83,65.2
972,3.66,2.98,64.5
972,3.67,2.9,64.4
972,3.68,2.9,64.7
972,3.69,2.15,64.6
972,3.7,2.11,64.5
972,3.71,2.16,59.1
972,3.72,2.21,61.0
972,3.73,2.2,62.9
972,3.74,2.41,62.1
972,3.75,2.62,61.3
972,3.76,3.04,58.1
972,3.77,3.6,57.3
972,3.78,3.33,56.5
972,3.79,3.68,56.5
972,3.8,3.68,47.0
972,3.81,4.0,47.7
972,3.82,5.4,48.5
972,3.83,5.71,50.3
972,3.84,6.4,47.6
972,3.85,7.46,44.9
972,3.86,7.46,40.6
972,3.87,8.25,40.1
972,3.88,8.63,41.5
972,3.89,8.79,42.9
972,3.9,8.69,43.6
972,3.91,8.59,44.3
972,3.92,8.66,55.9
972,3.93,8.42,56.4
972,3.94,8.42,56.9
972,3.95,7.65,56.9
972,3.96,6.84,57.4
972,3.97,6.94,57.8
972,3.98,6.33,59.6
972,3.99,6.38,59.8
972,4.0,5.73,51.6
972,4.01,5.19,51.0
972,4.02,5.19,50.5
972,4.03,5.01,60.3
972,4.04,4.93,62.4
972,4.05,4.93,64.6
972,4.06,4.97,66.7
972,4.07,5.01,46.8
972,4.08,5.26,41.5
972,4.09,5.27,43.7
972,4.1,5.27,45.9
972,4.11,5.14,57.6
972,4.12,5.11,46.7
972,4.13,5.26,58.2
972,4.14,5.41,73.6
972,4.15,5.75,86.6
972,4.16,7.23,93.1
972,4.17,7.7,84.4
972,4.18,7.7,75.8
972,4.19,8.16,52.1
972,4.2,8.25,57.1
972,4.21,7.67,62.0
972,4.22,7.66,73.4
972,4.23,7.65,84.8
972,4.24,7.65,84.8
972,4.25,6.05,84.8
972,4.26,5.28,88.3
972,4.27,5.12,91.9
972,4.28,4.95,103.0
972,4.29,5.5,102.4
972,4.3,4.73,101.8
972,4.31,4.29,96.7
972,4.32,4.29,96.7
972,4.33,4.24,95.7
972,4.34,4.03,88.4
972,4.35,3.36,81.0
972,4.36,3.13,82.5
972,4.37,2.94,82.9
972,4.38,2.52,82.7
972,4.39,2.52,82.5
972,4.4,2.33,75.8
972,4.41,2.14,61.6
972,4.42,1.79,61.7
972,4.43,1.5,60.2
972,4.44,1.33,57.7
972,4.45,1.23,50.8
972,4.46,1.2,51.3
972,4.47,1.2,44.9
972,4.48,1.19,42.1
972,4.49,1.18,41.9
972,4.5,1.16,40.4
972,4.51,1.15,38.7
972,4.52,1.14,38.7
972,4.53,1.13,36.3
972,4.54,1.13,35.2
972,4.55,1.13,34.9
972,4.56,1.13,34.8
972,4.57,1.13,34.8
972,4.58,1.13,35.1
972,4.59,1.12,35.3
972,4.6,1.1,35.4
972,4.61,1.1,35.5
972,4.62,1.09,35.5
972,4.63,1.08,35.4
972,4.64,1.07,35.2
972,4.65,1.07,35.0
972,4.66,1.07,31.9
972,4.67,1.07,30.3
972,4.68,1.12,31.5
972,4.69,1.17,29.1
972,4.7,1.27,29.0
972,4.71,1.19,29.4
972,4.72,1.18,29.9
972,4.73,1.21,30.3
972,4.74,1.24,30.4
972,4.75,1.26,30.4
972,4.76,1.35,30.5
972,4.77,1.15,30.6
972,4.78,1.07,30.8
972,4.79,1.02,30.5
972,4.8,1.02,30.5
972,4.81,1.02,30.4
972,4.82,1.02,31.7
972,4.83,1.02,32.9
972,4.84,1.03,33.4
972,4.85,1.04,33.5
972,4.86,1.06,33.6
972,4.87,1.07,33.6
972,4.88,1.1,33.6
972,4.89,1.13,33.7
972,4.9,1.13,34.0
972,4.91,1.14,34.4
972,4.92,1.14,34.1
972,4.93,1.16,34.6
972,4.94,1.17,34.9
972,4.95,1.14,35.6
972,4.96,1.14,35.4
972,4.97,1.14,35.9
972,4.98,1.14,36.1
972,4.99,1.15,36.4
